100065,liberal arts,"The interdisciplinary study of topics within the humanities, as well as social, natural and formal sciences.","The liberal arts is generally accepted as covering the following: humanities, including archaeology, art, history, literature, linguistics, philosophy, religion, modern and classical languages, music, theatre, and so on; social sciences, including psychology, law, sociology, politics, gender studies, anthropology, economics, geography, business, and so on; natural sciences, including biology, chemistry, physics, Earth sciences, and so on; and including mathematics and statistics."
100067,acting,"The study of/training in the communication of dramatic information, ideas, moods, and feelings through the achievement of naturalistic and believable behaviour in imaginary circumstances.",
100068,dance,"The study of and/or training in the movement of the body, particularly in time to music.",May include some study of/training in music and/or drama.
100069,drama,The study of and/or training in acting and stagecraft.,"May include the study of theatre management and the supervision and production of scenery, costume, lighting etc."
100070,music,"The study of melody, harmony and rhythm produced in accordance with specified patterns and sequences.","May include performance, theory, analysis and history of music."
100071,performing arts,"The study of art forms in which artists use their body, voice, or objects to convey artistic expression.  Performing arts include a variety of disciplines but all are intended to be performed in front of a live audience.",
100074,advertising,"The study of the use of promotional displays, whether presented orally or visually, in order to sell items and services or to publicise events.","Concentrates on business, management and financial aspects and not on the production of the artwork and ideas themselves."
100075,marketing,The study of techniques involved in the management of an organisation's relationship with its customers and the world at large.,
100076,public relations,"The study of creating, promoting and maintaining a favourable image among the public towards an individual or organisation.",
100078,business and management,"The study of planning, organising, directing, and controlling the functions and processes of an organisation. Includes management theory, human resources management, accounting, purchasing and logistics, organisation and production, marketing, and business decision-making.",
100079,business studies,The study of organisations and the environment in which they operate.,
100080,international business,The study of organisations and their operations throughout the world.,
100083,event management,"The study of the planning, administration and running of public or social occasions, such as conferences, shows and visits.",
100084,hospitality management,The study of the hospitality industry and its management.,
100085,human resource management,The specific techniques involved in the management and development of an organisation's human resources.,
100087,international hospitality management,"The study of business with relation to management of food and drink operations, front office and customer service, in hospitality businesses worldwide.","May include how hospitality businesses are created and developed globally, systems that support effective food and drink operations and facilities."
100088,leadership,"Study of skills required to assume a future leadership position, may include psychology, writing, negotiation, finance, ethical decision making, logic, organizational behaviour, human resource management, personal skills; managing individuals and teams.",
100089,management studies,The study of managing organisations.,
100090,public administration,The study of the functions and structure of those bodies concerned with the administrative duties of government.,
100091,public services,"The study of how to deliver state funded services effectively and efficiently, including the decision-making processes of managers and policymakers working in the public sector.",
100092,retail management,The study of techniques involved in the management of retail outlets.,
100093,logistics,The study of the optimal methods of mass distribution services.,
100095,sports coaching,"The study of the delivery (teaching, instructing and coaching) of enhanced sport performance and the critical analysis of the integration of the variables involved.",
100096,sports development,"The study of the monitoring, analysis, diagnosis and prescription of actions to enhance the component elements of sport.",
100097,sports management,"The study of management theories, concepts and principles of practice in the context of sport industries, organisations and initiatives.",
100098,sports studies,The study of the nature and provision of sport through analysis of its socio-cultural and health impacts.,
100100,tourism management,The study of the management of tourism.,
100101,travel and tourism,"The study of the travel and tourism industries, including structure, regulation, distribution methods, the impact and development of tourism and its impact.","Does not include transport studies, transport management and transport systems."
100102,travel management,"The specific study of the travel industry, its structure, regulation and distribution methods.",
100104,accountancy,"The study of the provision and analysis of financial information for a variety of decision-making, accountability, managerial, regulatory and resource allocation purposes.","This subject of study covers the practice of a professional accountant, reporting financial information to others (cf. accounting)."
100105,accounting,"The study of the process of, and systems used in, producing financial statements, and how they affect, and are affected by, individuals, organisations, markets, society and the environment.",This subject of study covers how to record and classify financial information (cf. accountancy).
100106,actuarial science,The study of the application of mathematical and statistical concepts to the assessment and management of financial risk.,
100107,finance,"The study of financial systems, regulations and reporting.",
100109,clothing production,The study of the methods and processes used in the production of clothing.,
100110,footwear production,The study of the design and production of footwear.,
100114,aeronautical engineering,"The study of the principles of engineering as they apply to the research, design, development and production of aircraft.","Involves fairly intensive study of mathematics and its applications in several fields including aerodynamics, stress analyses and inertial mechanics."
100115,aerospace engineering,The study of the principles of engineering of vehicles that operate inside and outside the earth__s atmosphere.,Involves the study and application of mathematics along with the operational aspects of aviation including maintenance.
100116,space technology,"The study of the principles of space flight including the design of launch vehicles, trajectory control and in some cases, recovery of payloads.",Involves the study of mathematics and its application to flight science beyond earth__s atmosphere.
100117,avionics,The study of electronics as applied to aeronautics and astronautics.,Involves the study and application of mathematics and experimentation including testing of circuits under extreme environmental conditions.
100118,satellite engineering,"The study of the principles of engineering as applied to all aspects of satellite technology for many purposes including remote sensing, communication, navigation, imaging and dispensing payload.","Involves the study of mathematics, energy management and testing the performance of equipment under extreme environmental conditions."
100120,architectural engineering,The study of the application of engineering principles and technology to building design and construction.,
100121,architectural technology,The theory and practice of advanced techniques and new materials in architectural design and construction.,
100122,architecture,"The study of the design, construction and erection of buildings. Combines design creativity with technical competence.",
100124,landscape architecture and design,"The study of the planning, design, construction and management of large land-based spaces and scenery within the context of human activity in the urban, domestic or natural environment.",Includes buildings within the landscape and the habitat surrounding them.
100126,biomechanics,The study of mechanical laws and the effect of physical forces on the movement and structure of individual organisms.,"Includes the range of length scales from nano mechanics of extracellular matrix molecules and membrane ion channels, through cell mechanics, to tissue mechanics and ultimately to organ, system and whole body level mechanics. Biomechanics can equally apply to biological systems as well as artificial systems such as implantable devices, prosthetics and orthotics. Counts as medical technology although may be studied as part of mechanical engineering."
100127,biomedical engineering,The study of the application of engineering principles to medical and biomedical problems.,"For more general biological issues, use bioengineering."
100128,dental technology,The study of the design and fabrication of dental prosthetics and restorative appliances.,
100129,diagnostic imaging,The study of the principles and techniques in the use of radiation to provide medical diagnostic information.,
100130,prosthetics and orthotics,The development and study of assistive devices including prosthetics and orthotics that can promote or substitute for lost or reduced functional capabilities.,
100131,radiology,The study of the principles and techniques in the use of radiation to provide diagnostic information and therapy in medicine.,includes radiography
100132,therapeutic imaging,The study of the treatment of human diseases by means of controlled exposure to forms of radiation.,
100134,biotechnology,The study of the use of biological processes or organisms for the production of materials and services.,Includes the use of techniques for the improvement of the characteristics of economically important plants and animals and for the development of micro-organisms to act on the environment.
100135,bioprocessing,The study of the principles of engineering as they apply to biological processes in industry.,
100136,environmental biotechnology,"The study of the integration of sciences and engineering in order to utilise the biochemical potential of microorganisms, plants and parts thereof for the restoration and preservation of the environment and for the sustainable use of resources.",
100137,industrial biotechnology,"The study of the use of plants, microorganisms and their constituent molecular and biochemical components for use in potentially large-scale applications in industry.",
100138,medical biotechnology,"The study of biotechnology as applied to the development of human/veterinary diagnostic, therapeutic systems.",
100139,plant biotechnology,The study of the use of plant-based biological processes for the production of materials and services.,Includes the use of techniques for the improvement of the characteristics of economically important plants and for the development of micro-organisms to act on the environment.
100141,biochemical engineering,The study of the principles of engineering as they apply to industrial production of organic chemical compounds such as proteins and enzymes.,
100143,chemical engineering,"The study of the principles of engineering as they apply to industrial processing to produce food, pharmaceuticals, plastics, petroleum products etc, and alternatives to them.",
100144,pharmaceutical engineering,The study of the principles of engineering as they apply to industrial preparation of drugs.,
100145,polymer science and technology,"The study of the synthesis, design, production, processing and use of organic polymer materials",
100147,building services engineering,The study of the principles of engineering as they apply to everything inside a building which makes it safe and comfortable to be in.,"From CIBSE website: Includes energy supply - gas, electricity and renewable sources heating and ventilating water , drainage and plumbing daylighting and artificial lighting escalators and lifts ventilation and refrigeration harnessing solar, wind and biomass energy communications, telephones and IT networks security and alarm systems fire detection and protection air conditioning and refrigeration facade engineering"
100148,civil engineering,"The study of the principles of engineering as they apply to the designing and construction of public works, e.g. buildings, bridges, pipelines etc. Involves the study and application of specialist mathematics.",
100149,construction,"The study of scientific, mathematical and management principles as they apply to the planning, design, and building of facilities and structures.","Includes the whole construction process, including management, surveying, quantity surveying and architectural technology."
100150,construction and the built environment,"The multidisciplinary study of how the implementation of building solutions relates to investment in, and the ownership, use, development, management, maintenance and improvement of land, buildings and facilities in the context of identifiable physical, urban, rural or maritime parameters.","Has a particular focus on the environment and sustainability. Covers broad-based programmes, broader than construction management or construction."
100151,construction management,The study of the implementation of construction projects to the client's specification from inception to completion.,"Focuses on management aspects, including project management, law, sustainability, economics, business management in a construction context. Narrower focus than construction and the built environment."
100152,offshore engineering,The study and principles of engineering as they apply to the construction of structures sited in the sea and their interaction with wind and waves. Involves the study and application of specialist mathematics.,
100153,structural engineering,The study of the principles of engineering as they apply to the design and construction of structures in the built environment.,Involves the study and application of specialist mathematics.
100154,transport engineering,"The study and principles of engineering as they apply to the planning, development and construction of the routes for any form of terrestrial transport.",
100155,minerals technology,The study of the production of minerals and metals and their separation from other elements contained within mineral deposits.,
100156,highways engineering,"The study and principles of engineering as they apply to the planning, development and construction of the routes for road transport.",
100157,railway engineering,"The study and principles of engineering as they apply to the planning, development and construction of the routes for rail transport.",
100159,telecommunications engineering,"The study of the principles of engineering as they apply to the reliable transmission, over some distance, of information bearing signals by means of electromagnetic waves (radio, optical or electro-magnetic signals) over imperfect media.",
100160,computer aided engineering,The study and development of the use of computers with particular application to engineering problems. Includes aspects of software design and programming skills.,
100162,computer systems engineering,"The integrated study of the principles of engineering as they apply to the design, creation, integration and management of computers within complex situations, using techniques from computer science, electronic engineering and control engineering.",
100163,electrical and electronic engineering,"The study of the principles of engineering as they apply to the practical uses of electricity. Electrical Engineering: The study of the principles of engineering as they apply to the practical uses of electrical systems, examples of systems are power generation, transmission and motors, and typically electrical engineering involves high currents. Electronic Engineering: The study of the principles of engineering as they apply to devices whereby electrons are conducted at low currents through a semi-conductor, free space or gas.", Involves the study of charged particles.
100164,electrical engineering,"The study of the principles of engineering as they apply to the practical uses of electrical systems, examples of systems are power generation, transmission and motors, and typically electrical engineering involves high currents.",Involves the study of charged particles. Closely linked with electronic engineering.
100165,electronic engineering,"The study of the principles of engineering as they apply to devices whereby electrons are conducted at low currents through a semi-conductor, free space or gas.",
100166,control systems,"The study of the principles of engineering as they apply to electrical and electronic methods of measurement, regulation and operation.",
100168,microelectronic engineering,The study of the principles of engineering as they apply to micro and sub-micro scale electronic designs and components.,
100169,optoelectronic engineering,"The study of the principles of engineering as they apply to devices in which an optical input produces electrical output or in which electrical stimulation produces visible, ultraviolet or infrared output.",
100170,mechatronics and robotics,"The study of designing, building and use of robots.",
100172,nuclear engineering,The study of the principles of engineering as they apply to industrial use and development of nuclear energy.,
100175,energy engineering,"The study and principles of engineering as they apply to the development and exploitation of various forms of energy, e.g. wind, water, solar etc. Involves the study and application of specialist mathematics.",
100176,gas engineering,The study of the principles of engineering as they apply to gases and their production and use.,
100177,microwave engineering,"The study of the principles of engineering as they apply to very short wavelength electromagnetic radiation used for a variety of applications, including the transmission and receipt of data.",
100178,petroleum engineering,"The study of the principles of engineering as they apply to the extraction, processing and refining of petroleum.",
100180,environmental engineering,The study of the principles of engineering as they apply to the sympathetic use of natural resources.,
100182,engineering design,"The study of the principles of engineering as they apply to the design and development of devices, systems and processes.",
100183,fire safety engineering,"The study of devices, structures and systems and the design, development and operation of these to reduce the risk of injury or damage through fire.",
100184,general or integrated engineering,"The study of design, development, construction, operation and maintenance of any device, process or system, which uses the resources of nature to fulfil human needs and aspirations.",Includes negotiated studies in engineering
100185,safety engineering,"The study of devices, structures, systems and processes and the design, development and operation of these to reduce the risk of injury or sickness.",includes JACS3 water quality control and public health engineering
100186,emergency and disaster technologies,The study of technical responses to emergencies and disasters.,
100188,systems engineering,The study of the principles of engineering as they apply to an assembly of components with interdependent functions.,
100190,mechanical engineering,"The study of the principles of engineering as they apply to the design, development manufacture and operation of machinery.",
100192,electromechanical engineering,The study of electrically-operated mechanical devices.,"For a focus on instrumentation and / or control systems, use control systems."
100193,maintenance engineering,The study of the techniques and skills involved in the routine maintenance of industrial machinery.,
100194,marine technology,"The study of the processes and systems used in boats, ships and other marine craft.",
100196,housing,The study of the development and management of housing projects in the private and social sectors and in land use planning.,
100197,planning,The study of the interaction between town and country land use.,Includes the use of land for building.
100198,transport planning,The study of the development and management of transportation systems.,
100199,urban and regional planning,"The study of the planning of the infrastructure and development of settlements, including new towns and the management of change.",
100201,automotive engineering,The study of mechanical self propulsion in vehicles.,
100202,manufacturing engineering,"The study of the principles of engineering as they apply to the design, installation and maintenance of production-line technologies.",
100203,materials engineering,"The study of the development, processing, enhancement/modification and application of engineering materials.",
100204,mining engineering,"The study of the design, development and operational evaluation of mineral extraction, processing and refining systems, including open pit and shaft mines, prospecting and site analysis equipment and instruments, environmental and safety systems, mine equipment and facilities, mineral processing and refining methods and systems, and logistics and communications systems.",
100205,motorcycle engineering,The study of mechanical engineering as applied to motorcycles.,"May include engine technology, power train engineering, chassis performance, management, materials, diagnostics and design."
100206,motorsport engineering,The study of mechanical engineering as applied to motorsport.,"May include engine technology, power train engineering, chassis performance, racing engineering, management, materials, simulation and data analysis."
100207,naval architecture,The study of the principles of engineering as they apply to ships and their reaction to water and its pressures.,Involves the study and application of specialist mathematics.
100209,production and manufacturing engineering,The study of the principles of engineering as they apply to the management and control of factory and workshop techniques and the industrial developments in technology and materials.,
100210,leather technology,The study of the processing and use of leather.,Includes tanning and methods of preserving leather.
100211,fabrication,The study of the processes involved in the production and manufacture of metallic objects and structures.,
100212,minerals processing,The study of the processing of minerals and metals from their raw or ore states.,
100213,quality management,"The study of approaches to ensuring the consistency of organisational behaviour, products and services through the use of techniques for planning, control, assurance and improvement.",
100214,textiles technology,The study of the use and development of textiles.,
100216,building surveying,"The study of techniques for the analysis of a building's performance from design and construction, through to maintenance and repair.",
100217,quantity surveying,"The study of the financial management, project management and commercial management of construction projects.",
100218,real estate,"The study of the development, buying, selling, appraisal and management of land, including policy, law, investment, marketing, management, leasing and rental business.",
100219,surveying,"The study and practice of measuring altitudes, angles and distances on the land surface so that they can be accurately plotted on a map.",May include the use of satellite information. Includes the setting out on the ground of the positions of proposed structures.
100221,music technology,"The study of the technical aspects involved with the musical arts, particularly the use of electronic devices and music industry business practices.",
100222,audio technology,The study of the systems and processes used in the manipulation and amplification of sound. Includes the recording of sound and/or music.,
100223,music production,The study of/training in the techniques required to obtain accurate and lifelike recordings of musical performances.,
100225,materials science,"The study of the crystalline and granular structure of materials, including electronic atomic and molecular configurations.",May include the study of mining and mining techniques.
100229,aviation studies,The study of the technical aspects of flying and navigation.,
100230,navigation,The study of the processes involved in navigation.,
100233,acupuncture,The study of/training in the method of treating various conditions by pricking the skin or tissues with needles.,
100234,alternative medicines and therapies,The study of the methods of diagnosis and treatment considered outside the scope of mainstream medicine in the UK.,"For medicines and therapies used alongside conventional medicine, use 'complementary medicines and therapies'."
100235,aromatherapy,The use of scented plant extracts and essential oils in massage.,
100236,Chinese medical techniques,"The study of the range of medical techniques with roots in China, such as moxibustion, massage, cupping, gwa sha, breath work (Qi Gong) and exercise (Tai Chi).",May include acupuncture.
100237,herbal medicine,The study of the use of herbs in the treatment of illness.,
100239,reflexology,"A system of massage through reflex points on the feet, hands and head used to relieve tension and treat illness.",
100241,chiropractic,The study of the diagnosis and manipulative treatment of mechanical disorders of the joints.,
100242,complementary medicines and therapies,"The study of medicines and therapies used alongside conventional medicine, but not covered within clinical medicine, to prevent and alleviate illness and disease as well as enhance health and well-being.","For medicines and therapies that are outside the scope of mainstream medicine in the UK, use 'alternative medicines and therapies'."
100243,osteopathy,The study of the treatment of disease through the manipulation of bones.,
100246,health sciences,"The study, using scientific principles, of the functioning of the human body and mind, their maintenance and improvement, including the study of the occurrence, diagnosis and treatment of disease and disability.",
100247,nutrition,The study of the process of assimilating nutrient materials into animal or plant tissue. Designed to enhance health and the quality of life of those treated.,
100248,occupational health,The monitoring and evaluation of health standards related to industrial and commercial workplaces and locations.,
100249,occupational therapy,The study of therapeutic regimes to assist recovery from mental or physical ailments/injury.,
100250,pharmacology,The study of the therapeutic and toxic effects of drugs on human tissues and systems.,
100251,pharmacy,"The study of the professional practice of pharmacy, including instruction in principles of medicinal chemistry, drug behaviour, and mixing, preparing and dispensing of prescription medications.",
100252,physiotherapy,"The study of the planning and execution of treatment programmes to prevent or remedy physical dysfunction, relieve pain and prevent further disability.",
100253,podiatry,The study of the diagnosis and management of pathologies of the lower limb and foot.,
100254,psychotherapy,The study and application of psychological processes of therapy.,"Included in NHS scientific, therapeutic & technical area"
100255,speech and language therapy,"The study of speech, language and communication difficulties as well as swallowing difficulties and approaches to assessment and intervention to support people living with such difficulties.",
100257,audiology,"The study of human hearing and balance systems and their function; and the assessment, treatment, management and prevention of disorders of these functions.",
100258,clinical physiology,"The study of the major physiology systems in humans, measurement techniques in their normal and abnormal function, and their use in the diagnosis and treatment of disease.",
100259,genetics,"The scientific study of origin, heredity and variation in organisms.",Includes the inheritance of biological information. Includes both healthcare and biological science perspectives.
100260,healthcare science,"The study of life sciences, physiological sciences, clinical engineering, medical physics, bioinformatics, and audiology in order to prevent, diagnose and treat medical conditions, and rehabilitate patients from them.",
100261,ophthalmology,"The study of the eye, disruption to sight and diseases of the eye. Also includes treatment of eye disorders.",
100262,physiology,"The study of the function and behaviour of the human body, including subjects such as respiration, circulation, digestion, excretion, reproduction and neuroscience.",Physiology is the term used in HE. Physiological sciences is used in NHS.
100264,anatomy,"The scientific study of the structure and function of the human body, including tissues, organs and systems.",
100265,biomedical sciences,The integrative scientific study of biological issues related to the support of the diagnosis and treatment of disease.,
100266,clinical dentistry,"The study of the observation, diagnosis and treatment of disease or damage to teeth and gums through direct interaction with human patients.",
100267,clinical medicine,"The study of the observation, diagnosis and treatment of an illness or disease through direct interaction with human patients.",
100268,dentistry,"The study of the vocational science concerned with the observation, diagnosis and treatment of damage, disease and disorder to the teeth and gums of homo sapiens, in both clinical and non-clinical settings.",
100270,medical sciences,The study of sciences dealing with the maintenance of health and the prevention and treatment of disease.,
100271,medicine,"Vocational science of preventing, diagnosing, alleviating or curing disease in homo sapiens through the observation, diagnosis and treatment of an illness or disease.",Includes both pre-clinical and clinical practice.
100272,neuroscience,"The study of the anatomy, physiology, biophysics, biochemistry, molecular biology, pharmacology and behaviour of human nerve cells and nervous systems.",
100273,operating department practice,"The study of support to operating theatre staff, including provision of care to patients, before, during and after surgery.",
100274,pathology,"The study of the nature, causes and development of human diseases, and the mechanisms of disease infestation and transfer.",
100275,pre-clinical dentistry,"The vocational study of the science concerned with the diagnosis and treatment of damage, disease and disorder to the teeth and gums of homo sapiens.",
100276,pre-clinical medicine,"The vocational study of the science of preventing, diagnosing, alleviating or curing disease in homo sapiens without direct involvement with patients.",
100277,toxicology,"The study of the nature, source, identification and characteristics of poisons, toxic substances, and exogenous chemical agents and their effects on human tissues and systems.",
100279,adult nursing,"The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care of adults in a variety of settings.",
100280,children's nursing,"The study of the principles and techniques to allow nurses to support and provide care for children and their families, from infancy to adolescence.",
100281,community nursing,"The study of principles and techniques for assessing, managing, treating and monitoring the health care needs of patients and families outside of a hospital environment.",
100282,critical care nursing,"The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care to critically ill patients.",
100283,dental nursing,The study of principles and techniques in providing assistance to dentists undertaking procedures and care to persons undergoing such procedures.,
100284,emergency nursing,"The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care for patients at first contact in the Emergency department.",
100285,general practice nursing,"The study of the principles and techniques for the assessing, screening, treating, care and education of patients within general practitioner practices.",
100286,learning disabilities nursing,The study of the principles and techniques to provide support for children and adults with learning difficulties.,
100287,mental health nursing,The study of the principles and therapeutic interventions that allow nurses to provide care for people with mental health needs.,
100288,midwifery,"The study of the principles and techniques to allow midwives to deliver babies and treat mothers in the pre-natal, delivery and post-delivery periods.",
100289,neonatal nursing,"The study of the principles and techniques to allow nurses to support and provide care for new-born babies who are premature or who are born sick, and their families.",
100290,nursing,"The study of principles and techniques for assessing, managing, treating and monitoring patients.",
100291,older people nursing,"The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care for older adults.",
100292,palliative care nursing,"The study of principles and techniques for assessing, managing, treating and monitoring the provision of palliative care for individuals with life-limiting conditions.",
100293,school nursing,The study of principles and techniques for the provision of nursing care within a school setting or to children and young people of school age.,
100294,theatre nursing,"The study of the principles and techniques to allow nurses to assess, manage, treat and monitor the provision of care for patients undergoing surgical intervention.",
100295,health visiting,The study of the promotion of health and health education specialising in working with families with children under 5 years old and older people.,
100298,ancient history,Historical studies of the period from earliest recorded times to about 500 CE.,
100299,archaeology,The study of human activity in the past through analysis of the material culture and environmental data left behind by past human populations.,
100300,classical studies,The study of the civilisations of ancient Greece and Rome. May involve investigation into their relationship with modern day civilisation.,
100301,economic history,Study of the growth and development of economies in history.,May include the study of industrialisation.
100302,history,"The study and interpretation of the past, including the gathering, recording, synthesizing and criticizing of evidence and theories about past events.",
100306,history of art,Historical study of developments in the arts and consideration of art history methods and techniques. Includes the enhancement of visual awareness and expertise as an aspect of cultural history.,
100307,history of science,Investigation of the historical development of the sciences in their economic and cultural context. Includes the influence of non-scientific factors and the impact of science on society.,
100308,local history,Social historical study of a particular locality such as a town or village.,
100309,medieval history,Historical studies of the period 600-1500 AD.,
100310,modern history,Historical studies of the period c.1550AD to the present.,
100311,Scottish history,Historical studies of Scotland.,
100312,social history,The study of the interpretation of the underlying processes of change in society. Includes the study of the growth and development of societies in history.,
100314,humanities,"The study of human culture through a range of disciplines that are critical or speculative, rather than scientific, thinking, including archaeology, classical studies, history, languages, literature and area studies, philosophy and religious studies, visual and performing arts.",
100316,American studies,"The study of societies, cultures, languages and literatures of the Americas.","Includes the languages spoken in the USA and Canada. For English, use ""English language"", for French, use ""French language"", for Spanish, use ""Spanish language"". For other languages spoken in Latin America, use ""Latin American studies"""
100317,British Sign Language studies,"The study of British Sign language, its structure, history, grammar and use. This may include the study of the British deaf community and culture and interpretation between BSL and English. May also include the linguistic study of BSL and comparison with other signed and spoken languages.",
100318,English language,"The study of the history, grammar and use of English. Includes pronunciation and articulation.","Covers English courses that are predominantly language based. For English roughly equally balanced between language and literature, use English studies."
100319,English literature,The study of texts originally written in English.,"Covers English that is predominantly literature based. Includes the use of techniques of literary analysis and interpretation. For English roughly equally balanced between language and literature, use English studies. For English specifically about English literature prior to 1900, use English literature 1200-1700 or English literature 1700-1900 as appropriate."
100320,English studies,The study of English language and literature.,"Covers English courses that are roughly equally balanced between language and literature. May include the use of techniques of literary analysis and interpretation. May include creative writing. May include the study of English society and culture. For English that is predominantly literature based, use English literature. For English that is predominantly language based, use English language. For English specifically about English literature prior to 1900, use English literature 1200-1700 or English literature 1700-1900 as appropriate."
100321,French language,"The study of the French language, its structure, history, grammar and use. Includes acquisition, pronunciation and articulation.",
100322,French studies,"The study of French society, culture, language and literature.","For studies focused only on French language, use the French language term."
100323,German language,"The study of the German language, its structure, history, grammar and use. Includes acquisition, pronunciation and articulation.",
100324,German studies,"The study of German society, culture, language and literature._","For studies focused only on German language, use the German language term."
100325,Spanish studies,"The study of Spanish societies, cultures, languages and literatures._","For Hispanic studies, use a combination of Spanish studies, Portuguese studies and Latin American studies. For studies focused only on Spanish language, use the modern Spanish language term."
100326,Italian language,"The study of the Italian language, its structure, history, grammar and use. Includes acquisition, pronunciation and articulation.",
100327,Italian studies,"The study of Italian society, culture, language and literature._","For studies focused only on Italian language, use the Italian language term."
100328,linguistics,"The study of the nature of language, its development and acquisition.",May involve some study of human vocal anatomy.
100329,modern languages,"Reading, writing, and speaking a language or languages, other than the mother tongue, that is currently in day to day use.",
100330,Russian languages,"The study of the Russian language varieties, their structure, history, grammar and use. Includes acquisition, pronunciation and articulation.","For Ukranian language varieties, use ""Ukranian language""."
100331,Russian and East European studies,"The study of Russian and East European societies, cultures, languages and literatures.",
100332,Spanish language,"The study of the Spanish language, its structure, history, grammar and use. Includes acquisition, pronunciation and articulation.",
100333,Welsh language,"The study of the history, grammar and use of Welsh. Includes acquisition, pronunciation and articulation.",
100335,Welsh studies,"The study of Welsh society, culture, languages and literatures._","For studies focused only on Welsh language, use the modern Welsh language term."
100337,philosophy,"The critical examination of fundamental beliefs about meaning, truth and reality, right and wrong.",
100338,philosophy of science,"The study of the philosophy of the sciences, including scientific methodology, the nature of scientific knowledge and the use of formal logic.",
100339,religious studies,Identification and classification of religions and the comparative study of the world's religious traditions.,
